sequence,rf_fitness,oracle_prediction,timestep,difference,absolute_error
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 2, 0]",0.39573153853416443,0.39573154,1,0.0,0.0
"[2, 3, 1, 0, 0, 3, 2, 0]",0.44830042123794556,0.44830042,1,0.0,0.0
"[2, 3, 1, 0, 0, 3, 2, 0]",0.44830042123794556,0.44830042,1,0.0,0.0
"[2, 3, 1, 0, 0, 3, 2, 0]",0.44830042123794556,0.44830042,1,0.0,0.0
"[2, 3, 1, 0, 0, 3, 1, 0]",0.49381716310977936,0.49172896,1,0.0020882016420364358,0.0020882016420364358
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 0, 0, 0, 3, 2, 1]",0.4247070020437241,0.4246223,1,8.470475673677536e-05,8.470475673677536e-05
"[2, 0, 0, 0, 0, 3, 2, 1]",0.4247070020437241,0.4246223,1,8.470475673677536e-05,8.470475673677536e-05
"[1, 0, 0, 0, 0, 3, 2, 1]",0.46439717829227445,0.47364914,1,-0.009251965880394009,0.009251965880394009
"[1, 2, 0, 0, 0, 3, 2, 1]",0.5166015630960464,0.38285148,1,0.13375008165836333,0.13375008165836333
"[1, 2, 0, 0, 0, 3, 2, 1]",0.5166015630960464,0.38285148,1,0.13375008165836333,0.13375008165836333
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 2, 0]",0.39573153853416443,0.39573154,1,0.0,0.0
"[1, 0, 1, 0, 0, 3, 2, 0]",0.45452006310224535,0.45541745,1,-0.0008973911404609458,0.0008973911404609458
"[1, 0, 1, 0, 0, 3, 2, 0]",0.45452006310224535,0.45541745,1,-0.0008973911404609458,0.0008973911404609458
"[1, 0, 1, 0, 0, 3, 2, 0]",0.45452006310224535,0.45541745,1,-0.0008973911404609458,0.0008973911404609458
"[1, 0, 1, 0, 0, 3, 2, 0]",0.45452006310224535,0.45541745,1,-0.0008973911404609458,0.0008973911404609458
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 2, 0, 0, 3, 2, 1]",0.44228786647319795,0.44253397,1,-0.00024610340595243585,0.00024610340595243585
"[2, 0, 2, 0, 0, 3, 2, 1]",0.44228786647319795,0.44253397,1,-0.00024610340595243585,0.00024610340595243585
"[2, 0, 2, 0, 0, 3, 2, 1]",0.44228786647319795,0.44253397,1,-0.00024610340595243585,0.00024610340595243585
"[2, 0, 2, 0, 0, 3, 2, 1]",0.44228786647319795,0.44253397,1,-0.00024610340595243585,0.00024610340595243585
"[2, 0, 2, 0, 0, 3, 2, 1]",0.44228786647319795,0.44253397,1,-0.00024610340595243585,0.00024610340595243585
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 0, 0, 0, 3, 2, 1]",0.4247070020437241,0.4246223,1,8.470475673677536e-05,8.470475673677536e-05
"[1, 0, 0, 0, 0, 3, 2, 1]",0.46439717829227445,0.47364914,1,-0.009251965880394009,0.009251965880394009
"[1, 0, 0, 0, 0, 3, 2, 1]",0.46439717829227445,0.47364914,1,-0.009251965880394009,0.009251965880394009
"[1, 0, 0, 0, 0, 3, 2, 1]",0.46439717829227445,0.47364914,1,-0.009251965880394009,0.009251965880394009
"[1, 0, 0, 0, 0, 3, 2, 1]",0.46439717829227445,0.47364914,1,-0.009251965880394009,0.009251965880394009
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 3, 0, 0, 3, 2, 1]",0.7167326807975769,0.7167327,1,0.0,0.0
"[2, 0, 3, 0, 0, 3, 2, 1]",0.7167326807975769,0.7167327,1,0.0,0.0
"[2, 0, 3, 0, 0, 3, 2, 1]",0.7167326807975769,0.7167327,1,0.0,0.0
"[2, 0, 3, 0, 0, 3, 2, 1]",0.7167326807975769,0.7167327,1,0.0,0.0
"[2, 0, 3, 0, 0, 3, 0, 1]",0.7790866893529892,0.8723246,1,-0.09323789656162262,0.09323789656162262
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 2, 0, 3, 2, 1]",0.42878694146871565,0.43082184,1,-0.0020348945260048046,0.0020348945260048046
"[2, 0, 1, 2, 0, 3, 2, 1]",0.42878694146871565,0.43082184,1,-0.0020348945260048046,0.0020348945260048046
"[0, 0, 1, 2, 0, 3, 2, 1]",0.45601892173290254,0.48024923,1,-0.0242303043603897,0.0242303043603897
"[0, 0, 1, 2, 0, 3, 2, 1]",0.45601892173290254,0.48024923,1,-0.0242303043603897,0.0242303043603897
"[0, 0, 1, 2, 0, 3, 2, 1]",0.45601892173290254,0.48024923,1,-0.0242303043603897,0.0242303043603897
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 2, 3]",0.3959840014576912,0.39573154,1,0.0002524629235267639,0.0002524629235267639
"[2, 0, 2, 0, 0, 3, 2, 3]",0.4413120985031128,0.44253397,1,-0.0012218713760375755,0.0012218713760375755
"[2, 0, 2, 0, 0, 3, 2, 3]",0.4413120985031128,0.44253397,1,-0.0012218713760375755,0.0012218713760375755
"[2, 0, 3, 0, 0, 3, 2, 3]",0.7167326807975769,0.7167327,1,0.0,0.0
"[2, 0, 3, 0, 0, 3, 2, 3]",0.7167326807975769,0.7167327,1,0.0,0.0
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 2, 2]",0.39573153853416443,0.39573154,1,0.0,0.0
"[2, 0, 1, 0, 0, 0, 2, 2]",0.4019816339015961,0.40146703,1,0.0005146086215973011,0.0005146086215973011
"[2, 0, 1, 0, 3, 0, 2, 2]",0.4043280890583992,0.42964506,1,-0.025316972434520746,0.025316972434520746
"[2, 0, 1, 0, 1, 0, 2, 2]",0.4680548706650734,0.40776932,1,0.06028554826974869,0.06028554826974869
"[2, 0, 1, 0, 1, 0, 2, 2]",0.4680548706650734,0.40776932,1,0.06028554826974869,0.06028554826974869
[2 0 1 0 0 3 2 1],0,0.39573154,1,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 2, 3, 2, 1]",0.40100893914699554,0.400387,1,0.0006219500303268344,0.0006219500303268344
"[2, 0, 1, 0, 3, 3, 2, 1]",0.4021370667219162,0.40475833,1,-0.0026212674379348933,0.0026212674379348933
"[2, 3, 1, 0, 3, 3, 2, 1]",0.44751866936683654,0.45708668,1,-0.009568012952804572,0.009568012952804572
"[2, 3, 1, 0, 0, 3, 2, 1]",0.44830042123794556,0.44830042,1,0.0,0.0
"[2, 3, 3, 0, 0, 3, 2, 1]",0.7131880247592925,0.47817427,1,0.2350137555599212,0.2350137555599212
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 2, 3]",0.396070673763752,0.39573154,2,0.0003391352295875616,0.0003391352295875616
"[2, 0, 2, 0, 0, 3, 2, 3]",0.4425339698791504,0.44253397,2,0.0,0.0
"[3, 0, 2, 0, 0, 3, 2, 3]",0.46547640323638917,0.46624178,2,-0.0007653737068176181,0.0007653737068176181
"[3, 0, 2, 0, 0, 3, 0, 3]",0.473995344042778,0.68485296,2,-0.2108576136827469,0.2108576136827469
"[3, 0, 3, 0, 0, 3, 0, 3]",0.824091095328331,0.8878861,2,-0.063795011639595,0.063795011639595
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
"[2, 1, 1, 0, 0, 3, 2, 1]",0.41702267944812776,0.3757857,2,0.041236971020698565,0.041236971020698565
"[2, 1, 1, 0, 0, 3, 0, 1]",0.4321123880147934,0.54259104,2,-0.11047864735126495,0.11047864735126495
"[2, 1, 1, 2, 0, 3, 0, 1]",0.4521930673718452,0.75000584,2,-0.29781277388334276,0.29781277388334276
"[2, 3, 1, 2, 0, 3, 0, 1]",0.4712351179122925,0.72250557,2,-0.2512704515457153,0.2512704515457153
"[2, 3, 1, 2, 0, 3, 0, 1]",0.4712351179122925,0.72250557,2,-0.2512704515457153,0.2512704515457153
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 3, 1]",0.4014574432373047,0.40034246,2,0.0011149787902832164,0.0011149787902832164
"[2, 0, 1, 0, 0, 3, 0, 1]",0.40622337371110917,0.6056504,2,-0.19942705124616622,0.19942705124616622
"[2, 2, 1, 0, 0, 3, 0, 1]",0.42502101719379426,0.5266927,2,-0.10167167127132415,0.10167167127132415
"[2, 2, 1, 0, 0, 1, 0, 1]",0.42823626041412355,0.3595636,2,0.06867267131805421,0.06867267131805421
"[2, 2, 1, 0, 0, 1, 0, 1]",0.42823626041412355,0.3595636,2,0.06867267131805421,0.06867267131805421
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 3, 0, 3, 2, 1]",0.4097034963965416,0.42097783,2,-0.011274334490299243,0.011274334490299243
"[2, 0, 1, 3, 0, 3, 0, 1]",0.4194935256242752,0.6830249,2,-0.26353135764598845,0.26353135764598845
"[2, 2, 1, 3, 0, 3, 0, 1]",0.43280552208423617,0.7436906,2,-0.31088508784770963,0.31088508784770963
"[2, 2, 1, 3, 0, 1, 0, 1]",0.4345798772573471,0.3753752,2,0.05920466601848601,0.05920466601848601
"[2, 2, 1, 3, 0, 1, 0, 1]",0.4345798772573471,0.3753752,2,0.05920466601848601,0.05920466601848601
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
"[2, 0, 1, 0, 0, 3, 2, 0]",0.396070673763752,0.39573154,2,0.0003391352295875616,0.0003391352295875616
"[2, 0, 1, 0, 3, 3, 2, 0]",0.4108406347036362,0.40475833,2,0.006082300543785113,0.006082300543785113
"[2, 0, 1, 2, 3, 3, 2, 0]",0.42905203223228455,0.30988675,2,0.119165278673172,0.119165278673172
"[2, 3, 1, 2, 3, 3, 2, 0]",0.4547292137145996,0.40050447,2,0.05422474384307863,0.05422474384307863
"[2, 3, 1, 2, 3, 3, 3, 0]",0.4704993253946304,0.41962603,2,0.05087329804897306,0.05087329804897306
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
"[2, 2, 1, 0, 0, 3, 2, 1]",0.4116684502363205,0.33496642,2,0.07670202910900115,0.07670202910900115
"[2, 2, 1, 0, 0, 3, 3, 1]",0.4202550867199898,0.35329103,2,0.06696405202150346,0.06696405202150346
"[2, 2, 1, 0, 0, 3, 3, 1]",0.4202550867199898,0.35329103,2,0.06696405202150346,0.06696405202150346
"[2, 2, 1, 1, 0, 3, 3, 1]",0.42839049458503725,0.26946643,2,0.1589240646362305,0.1589240646362305
"[2, 2, 1, 1, 0, 3, 1, 1]",0.4305619215965271,0.30223858,2,0.12832333803176882,0.12832333803176882
[2 0 1 0 0 3 2 1],0,0.39573154,2,-0.39573153853416443,0.39573153853416443
